UniProtKB:Q5VYS8	ZCCHC6	Terminal uridylyltransferase 7
UniProtKB:Q32M78	ZNF699	Zinc finger protein 699
UniProtKB:Q3ZCX4	ZNF568	Zinc finger protein 568
UniProtKB:P12273	PIP	Prolactin-inducible protein
UniProtKB:P12272	PTHLH	Parathyroid hormone-related protein
UniProtKB:P12270	TPR	Nucleoprotein TPR
UniProtKB:Q96JL9	ZNF333	Zinc finger protein 333
UniProtKB:P59923	ZNF445	Zinc finger protein 445
UniProtKB:Q9H446	RWDD1	RWD domain-containing protein 1
UniProtKB:Q9NP71	MLXIPL	Carbohydrate-responsive element-binding protein
UniProtKB:Q96JK9	MAML3	Mastermind-like protein 3
UniProtKB:Q9ULX6	AKAP8L	A-kinase anchor protein 8-like
UniProtKB:Q9H3R0	KDM4C	Lysine-specific demethylase 4C
UniProtKB:P0C7M4	RHOXF2B	Rhox homeobox family member 2B
UniProtKB:Q9H422	HIPK3	Homeodomain-interacting protein kinase 3
UniProtKB:P07585	DCN	Decorin
UniProtKB:Q16790	CA9	Carbonic anhydrase 9
UniProtKB:Q3ZCT1	ZNF260	Zinc finger protein 260
UniProtKB:Q9ULU4	ZMYND8	Protein kinase C-binding protein 1
UniProtKB:Q9UM63	PLAGL1	Zinc finger protein PLAGL1
UniProtKB:Q16777	HIST2H2AC	Histone H2A type 2-C
UniProtKB:Q9UM54	MYO6	Unconventional myosin-VI
UniProtKB:P07550	ADRB2	Beta-2 adrenergic receptor
UniProtKB:Q96JF6	ZNF594	Zinc finger protein 594
UniProtKB:O43313	ATMIN	ATM interactor
UniProtKB:O43316	PAX4	Paired box protein Pax-4
UniProtKB:Q9H3M7	TXNIP	Thioredoxin-interacting protein
UniProtKB:Q9UM47	NOTCH3	Neurogenic locus notch homolog protein 3
UniProtKB:Q96JE7	SEC16B	Protein transport protein Sec16B
UniProtKB:Q9NP08	HMX1	Homeobox protein HMX1
UniProtKB:Q9ULR5	PAIP2B	Polyadenylate-binding protein-interacting protein 2B
UniProtKB:P0DN86	CGB3	Choriogonadotropin subunit beta 3
UniProtKB:Q96JC4	ZNF479	Zinc finger protein 479
UniProtKB:B2RXH4	BTBD18	BTB/POZ domain-containing protein 18
UniProtKB:B2RXH2	KDM4E	Lysine-specific demethylase 4E
UniProtKB:P0DMV8	HSPA1A	Heat shock 70 kDa protein 1A
UniProtKB:O43353	RIPK2	Receptor-interacting serine/threonine-protein kinase 2
UniProtKB:Q9UM07	PADI4	Protein-arginine deiminase type-4
UniProtKB:B2RXF5	ZBTB42	Zinc finger and BTB domain-containing protein 42
UniProtKB:P49675	STAR	Steroidogenic acute regulatory protein, mitochondrial
UniProtKB:P49674	CSNK1E	Casein kinase I isoform epsilon
UniProtKB:Q9ULM6	CNOT6	CCR4-NOT transcription complex subunit 6
UniProtKB:P0DMS9	TMIGD3	Transmembrane domain-containing protein TMIGD3
UniProtKB:P0DMS8	ADORA3	Adenosine receptor A3
UniProtKB:Q9ULM3	YEATS2	YEATS domain-containing protein 2
UniProtKB:Q9ULM2	ZNF490	Zinc finger protein 490
UniProtKB:Q7Z7J5	DPPA2	Developmental pluripotency-associated protein 2
UniProtKB:P22466	GAL	Galanin peptides
UniProtKB:P49640	EVX1	Homeobox even-skipped homolog protein 1
UniProtKB:O75888	TNFSF13	Tumor necrosis factor ligand superfamily member 13
UniProtKB:P49639	HOXA1	Homeobox protein Hox-A1
UniProtKB:Q9H3C7	GGNBP2	Gametogenetin-binding protein 2
UniProtKB:Q9ULI0	ATAD2B	ATPase family AAA domain-containing protein 2B
