UniProtKB:P12270	TPR	Nucleoprotein TPR
UniProtKB:Q9NP71	MLXIPL	Carbohydrate-responsive element-binding protein
UniProtKB:Q9ULX6	AKAP8L	A-kinase anchor protein 8-like
UniProtKB:Q9H422	HIPK3	Homeodomain-interacting protein kinase 3
UniProtKB:P07585	DCN	Decorin
UniProtKB:Q9ULW0	TPX2	Targeting protein for Xklp2
UniProtKB:P33993	MCM7	DNA replication licensing factor MCM7
UniProtKB:Q9H3N8	HRH4	Histamine H4 receptor
UniProtKB:P07550	ADRB2	Beta-2 adrenergic receptor
UniProtKB:Q9ULP0	NDRG4	Protein NDRG4
UniProtKB:O43353	RIPK2	Receptor-interacting serine/threonine-protein kinase 2
UniProtKB:Q9ULK5	VANGL2	Vang-like protein 2
UniProtKB:Q9H3E2	SNX25	Sorting nexin-25
UniProtKB:Q9ULJ8	PPP1R9A	Neurabin-1
UniProtKB:Q9H3C7	GGNBP2	Gametogenetin-binding protein 2
UniProtKB:Q9ULH0	KIDINS220	Kinase D-interacting substrate of 220 kDa
UniProtKB:Q96J84	KIRREL1	Kin of IRRE-like protein 1
UniProtKB:O75815	BCAR3	Breast cancer anti-estrogen resistance protein 3
UniProtKB:P17706	PTPN2	Tyrosine-protein phosphatase non-receptor type 2
UniProtKB:P0DMC3	APELA	Apelin receptor early endogenous ligand
UniProtKB:O95747	OXSR1	Serine/threonine-protein kinase OSR1
UniProtKB:P00797	REN	Renin
UniProtKB:P27987	ITPKB	Inositol-trisphosphate 3-kinase B
UniProtKB:P27986	PIK3R1	Phosphatidylinositol 3-kinase regulatory subunit alpha
UniProtKB:Q9UKZ4	TENM1	Teneurin-1
UniProtKB:Q16690	DUSP5	Dual specificity protein phosphatase 5
UniProtKB:Q9H2P0	ADNP	Activity-dependent neuroprotector homeobox protein
UniProtKB:P00734	F2	Prothrombin
UniProtKB:Q16667	CDKN3	Cyclin-dependent kinase inhibitor 3
UniProtKB:Q16665	HIF1A	Hypoxia-inducible factor 1-alpha
UniProtKB:Q96IF1	AJUBA	LIM domain-containing protein ajuba
UniProtKB:Q16644	MAPKAPK3	MAP kinase-activated protein kinase 3
UniProtKB:O43435	TBX1	T-box transcription factor TBX1
UniProtKB:Q9NZH0	GPRC5B	G-protein coupled receptor family C group 5 member B
UniProtKB:P34925	RYK	Tyrosine-protein kinase RYK
UniProtKB:P61296	HAND2	Heart- and neural crest derivatives-expressed protein 2
UniProtKB:Q9NZC2	TREM2	Triggering receptor expressed on myeloid cells 2
UniProtKB:P09769	FGR	Tyrosine-protein kinase Fgr
UniProtKB:Q6PJG6	BRAT1	BRCA1-associated ATM activator 1
UniProtKB:Q03135	CAV1	Caveolin-1
UniProtKB:P61225	RAP2B	Ras-related protein Rap-2b
UniProtKB:Q03112	MECOM	MDS1 and EVI1 complex locus protein EVI1
UniProtKB:Q03111	MLLT1	Protein ENL
UniProtKB:P56539	CAV3	Caveolin-3
UniProtKB:P56537	EIF6	Eukaryotic translation initiation factor 6
UniProtKB:Q9NYY1	IL20	Interleukin-20
UniProtKB:O15467	CCL16	C-C motif chemokine 16
UniProtKB:O15455	TLR3	Toll-like receptor 3
UniProtKB:P04196	HRG	Histidine-rich glycoprotein
UniProtKB:O15444	CCL25	C-C motif chemokine 25
UniProtKB:P04156	PRNP	Major prion protein
UniProtKB:Q9NYQ7	CELSR3	Cadherin EGF LAG seven-pass G-type receptor 3
UniProtKB:Q13322	GRB10	Growth factor receptor-bound protein 10
UniProtKB:P35225	IL13	Interleukin-13
UniProtKB:Q13319	CDK5R2	Cyclin-dependent kinase 5 activator 2
UniProtKB:Q13315	ATM	Serine-protein kinase ATM
UniProtKB:Q9NYK1	TLR7	Toll-like receptor 7
UniProtKB:P14373	TRIM27	Zinc finger protein RFP
UniProtKB:Q9NYF0	DACT1	Dapper homolog 1
UniProtKB:Q96SZ6	CDK5RAP1	CDK5 regulatory subunit-associated protein 1
UniProtKB:P34820	BMP8B	Bone morphogenetic protein 8B
UniProtKB:Q9P278	FNIP2	Folliculin-interacting protein 2
UniProtKB:Q9P286	PAK5	Serine/threonine-protein kinase PAK 5
UniProtKB:Q9NYB0	TERF2IP	Telomeric repeat-binding factor 2-interacting protein 1
UniProtKB:Q9BVL2	NUP58	Nucleoporin p58/p45
UniProtKB:Q9NYA1	SPHK1	Sphingosine kinase 1
UniProtKB:P14317	HCLS1	Hematopoietic lineage cell-specific protein
UniProtKB:O14905	WNT9B	Protein Wnt-9b
UniProtKB:Q5T686	AVPI1	Arginine vasopressin-induced protein 1
UniProtKB:P09619	PDGFRB	Platelet-derived growth factor receptor beta
UniProtKB:Q03014	HHEX	Hematopoietically-expressed homeobox protein HHEX
UniProtKB:P09603	CSF1	Macrophage colony-stimulating factor 1
UniProtKB:O15379	HDAC3	Histone deacetylase 3
UniProtKB:P60484	PTEN	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN
UniProtKB:Q6P1S2	C3orf33	Protein C3orf33
UniProtKB:O60346	PHLPP1	PH domain leucine-rich repeat-containing protein phosphatase 1
UniProtKB:Q06787	FMR1	Synaptic functional regulator FMR1
UniProtKB:Q9C0K7	STRADB	STE20-related kinase adapter protein beta
UniProtKB:O60315	ZEB2	Zinc finger E-box-binding homeobox 2
UniProtKB:Q96LT7	C9orf72	Guanine nucleotide exchange C9orf72
UniProtKB:Q6ZMJ4	IL34	Interleukin-34
UniProtKB:Q6XUX3	DSTYK	Dual serine/threonine and tyrosine protein kinase
UniProtKB:P37173	TGFBR2	TGF-beta receptor type-2
UniProtKB:Q9C0C2	TNKS1BP1	182 kDa tankyrase-1-binding protein
UniProtKB:Q9NQU5	PAK6	Serine/threonine-protein kinase PAK 6
UniProtKB:P19174	PLCG1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1
UniProtKB:Q9NSA1	FGF21	Fibroblast growth factor 21
UniProtKB:P07766	CD3E	T-cell surface glycoprotein CD3 epsilon chain
UniProtKB:Q9NR23	GDF3	Growth/differentiation factor 3
UniProtKB:Q9NR00	TCIM	Transcriptional and immune response regulator
UniProtKB:Q5UE93	PIK3R6	Phosphoinositide 3-kinase regulatory subunit 6
UniProtKB:O43155	FLRT2	Leucine-rich repeat transmembrane protein FLRT2
UniProtKB:P22694	PRKACB	cAMP-dependent protein kinase catalytic subunit beta
UniProtKB:P22692	IGFBP4	Insulin-like growth factor-binding protein 4
UniProtKB:Q01101	INSM1	Insulinoma-associated protein 1
UniProtKB:Q9UNN5	FAF1	FAS-associated factor 1
UniProtKB:P22681	CBL	E3 ubiquitin-protein ligase CBL
UniProtKB:O43181	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial
UniProtKB:P0DP24	CALM2	Calmodulin-2
UniProtKB:P0DP23	CALM1	Calmodulin-1
UniProtKB:P05362	ICAM1	Intercellular adhesion molecule 1
UniProtKB:Q9UNI6	DUSP12	Dual specificity protein phosphatase 12
UniProtKB:O60271	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4
UniProtKB:Q9C010	PKIB	cAMP-dependent protein kinase inhibitor beta
UniProtKB:Q9UNH7	SNX6	Sorting nexin-6
UniProtKB:O60266	ADCY3	Adenylate cyclase type 3
UniProtKB:P29353	SHC1	SHC-transforming protein 1
UniProtKB:P29350	PTPN6	Tyrosine-protein phosphatase non-receptor type 6
UniProtKB:P49815	TSC2	Tuberin
UniProtKB:Q9UNG2	TNFSF18	Tumor necrosis factor ligand superfamily member 18
UniProtKB:P22612	PRKACG	cAMP-dependent protein kinase catalytic subunit gamma
UniProtKB:P22607	FGFR3	Fibroblast growth factor receptor 3
UniProtKB:P17948	FLT1	Vascular endothelial growth factor receptor 1
UniProtKB:O60239	SH3BP5	SH3 domain-binding protein 5
UniProtKB:O60234	GMFG	Glia maturation factor gamma
UniProtKB:Q96L73	NSD1	Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific
UniProtKB:P29323	EPHB2	Ephrin type-B receptor 2
UniProtKB:P29322	EPHA8	Ephrin type-A receptor 8
UniProtKB:P29317	EPHA2	Ephrin type-A receptor 2
UniProtKB:P32881	IFNA8	Interferon alpha-8
UniProtKB:Q9H596	DUSP21	Dual specificity protein phosphatase 21
UniProtKB:Q9H8V3	ECT2	Protein ECT2
UniProtKB:Q9H8T0	AKTIP	AKT-interacting protein
UniProtKB:P98161	PKD1	Polycystin-1
UniProtKB:P98155	VLDLR	Very low-density lipoprotein receptor
UniProtKB:P19438	TNFRSF1A	Tumor necrosis factor receptor superfamily member 1A
UniProtKB:Q9BQY9	DBNDD2	Dysbindin domain-containing protein 2
UniProtKB:P54851	EMP2	Epithelial membrane protein 2
UniProtKB:Q12860	CNTN1	Contactin-1
UniProtKB:Q969V5	MUL1	Mitochondrial ubiquitin ligase activator of NFKB 1
UniProtKB:Q9NTG7	SIRT3	NAD-dependent protein deacetylase sirtuin-3, mitochondrial
UniProtKB:O60583	CCNT2	Cyclin-T2
UniProtKB:O60565	GREM1	Gremlin-1
UniProtKB:O60563	CCNT1	Cyclin-T1
UniProtKB:Q9NR96	TLR9	Toll-like receptor 9
UniProtKB:O60519	CREBL2	cAMP-responsive element-binding protein-like 2
UniProtKB:O60504	SORBS3	Vinexin
UniProtKB:O60503	ADCY9	Adenylate cyclase type 9
UniProtKB:P60953	CDC42	Cell division control protein 42 homolog
UniProtKB:Q96S97	MYADM	Myeloid-associated differentiation marker
UniProtKB:Q9H875	PRKRIP1	PRKR-interacting protein 1
UniProtKB:Q9NT99	LRRC4B	Leucine-rich repeat-containing protein 4B
UniProtKB:P39877	PLA2G5	Calcium-dependent phospholipase A2
UniProtKB:P98082	DAB2	Disabled homolog 2
UniProtKB:P07996	THBS1	Thrombospondin-1
UniProtKB:P98077	SHC2	SHC-transforming protein 2
UniProtKB:P12644	BMP4	Bone morphogenetic protein 4
UniProtKB:P12643	BMP2	Bone morphogenetic protein 2
UniProtKB:Q9NRA1	PDGFC	Platelet-derived growth factor C
UniProtKB:P50749	RASSF2	Ras association domain-containing protein 2
UniProtKB:P07949	RET	Proto-oncogene tyrosine-protein kinase receptor Ret
UniProtKB:P07948	LYN	Tyrosine-protein kinase Lyn
UniProtKB:P07947	YES1	Tyrosine-protein kinase Yes
UniProtKB:Q9UPR0	PLCL2	Inactive phospholipase C-like protein 2
UniProtKB:P54764	EPHA4	Ephrin type-A receptor 4
UniProtKB:Q86UE6	LRRTM1	Leucine-rich repeat transmembrane neuronal protein 1
UniProtKB:Q9BZF1	OSBPL8	Oxysterol-binding protein-related protein 8
UniProtKB:Q03405	PLAUR	Urokinase plasminogen activator surface receptor
UniProtKB:Q9BZE4	GTPBP4	Nucleolar GTP-binding protein 1
UniProtKB:O60260	PRKN	E3 ubiquitin-protein ligase parkin
UniProtKB:Q8IU54	IFNL1	Interferon lambda-1
UniProtKB:Q08999	RBL2	Retinoblastoma-like protein 2
UniProtKB:Q86U70	LDB1	LIM domain-binding protein 1
UniProtKB:Q13610	PWP1	Periodic tryptophan protein 1 homolog
UniProtKB:P78423	CX3CL1	Fractalkine
UniProtKB:P78406	RAE1	mRNA export factor
UniProtKB:P46531	NOTCH1	Neurogenic locus notch homolog protein 1
UniProtKB:Q86TN4	TRPT1	tRNA 2'-phosphotransferase 1
UniProtKB:P46527	CDKN1B	Cyclin-dependent kinase inhibitor 1B
UniProtKB:Q9BYP7	WNK3	Serine/threonine-protein kinase WNK3
UniProtKB:P09936	UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1
